documentId,originaldocumentname,fileSize,pages
76dbc973-27d9-4206-8668-2edf485337c0,STITCHING_EM_DMStore_1158_25MB.pdf,27105774,1158
9b4de7b5-2b69-4501-ada8-c28a20e145a0,STITCHING_EM_DMStore_78_5MB.docx,5357969,78
180d2493-e96a-4e31-8dee-1d50cc2907f5,STITCHING_EM_DMStore_464_10MB.pdf,10674409,464
382d4d33-9138-4cd3-a6ad-58856486d62c,STITCHING_EM_DMStore_175_15MB.docx,14169117,175
27bbbe19-2ea6-4ce6-b846-1f1ece1f1a3b,STITCHING_EM_DMStore_230_5MB.pdf,5226575,230
2360d810-b4a6-4975-844e-b8cdde8af49b,STITCHING_EM_DMStore_5_1MB.docx,1026736,5
43978092-c818-4532-91ae-0a2a2041d994,STITCHING_EM_DMStore_2320_50MB.pdf,53006625,2320
