documentId,originaldocumentname,size,pages
e8e87bab-6534-4410-8484-7e5a98656409,STITCHING_EM_DMStore_78_5MB.docx,5357969,78
768e22ec-df90-4953-b41a-cc00e4b348fb,STITCHING_EM_DMStore_175_15MB.docx,14169117,175
89b7ee76-ac74-4d6b-817d-7dc7db5ff302,STITCHING_EM_DMStore_230_5MB.pdf,5226575,230
19b5ac0f-2567-412a-9971-c505261186a5,STITCHING_EM_DMStore_5_1MB.docx,1026736,5
4213416e-0bbd-4913-abd0-deb7a33b5905,STITCHING_EM_DMStore_464_10MB.pdf,10674409,464
1e774e80-131f-4a23-88c8-9520d13fd64e,STITCHING_EM_DMStore_4_1MB.pdf,967038,4
