documentId,originaldocumentname,size,pages
4e12a05c-4427-423a-b8dc-c595f7e2feba,STITCHING_EM_DMStore_230_5MB.pdf,5226575,230
a0e8db37-7c09-49f6-af09-7d99598bb406,STITCHING_EM_DMStore_464_10MB.pdf,10674409,464
151cf101-4ab3-45bd-8caf-edf069c463e2,STITCHING_EM_DMStore_1158_25MB.pdf,27105774,1158
027c8c6d-5346-4abc-bd5b-14b4fd9aab27,STITCHING_EM_DMStore_2320_50MB.pdf,53006625,2320
636658aa-ae6b-4fb8-9654-5ad8f5c61cca,STITCHING_EM_DMStore_78_5MB.docx,5357969,78
280e468c-24db-4b2a-85b8-035927639796,STITCHING_EM_DMStore_175_15MB.docx,14169117,175
923453c5-09ca-4f3e-8e11-66b3e0212edf,STITCHING_EM_DMStore_5_1MB.docx,1026736,5
